PORT|TCP|UDP|DESCRIPTION
259|Yes|Yes|Efficient Short Remote Operations (ESRO)
262|Yes|Yes|Arcisdms
264|Yes|Yes|Border Gateway Multicast Protocol (BGMP)
280|Yes|Yes|http-mgmt
300|Yes||ThinLinc Web Access
308|Yes||Novastor Online Backup
311|Yes|Assigned|Mac OS X Server Admin)
318|Yes|Yes|PKIX Time Stamp Protocol (TSP)
319||Yes|Precision Time Protocol (PTP) event messages
320||Yes|Precision Time Protocol (PTP) general messages
350|Yes|Yes|Mapping of Airline Traffic over Internet Protocol (MATIP) type A
351|Yes|Yes|MATIP type B
356|Yes|Yes|cloanto-net-1 (used by Cloanto Amiga Explorer and VMs)
366|Yes|Yes|On-Demand Mail Relay (ODMR)
369|Yes|Yes|Rpc2portmap
370|Yes|Yes|codaauth2, Coda authentication server
371|Yes|Yes|ClearCase albd
383|Yes|Yes|HP data alarm manager
384|Yes|Yes|A Remote Network Server System
387|Yes|Yes|AURP (AppleTalk Update-based Routing Protocol)
388|Yes|Assigned|Unidata LDM near real-time data distribution protocol
389|Yes|Assigned|Lightweight Directory Access Protocol (LDAP)
399|Yes|Yes|Digital Equipment Corporation DECnet+ (Phase V) over TCP/IP (RFC1859)
401|Yes|Yes|Uninterruptible power supply (UPS)
427|Yes|Yes|Service Location Protocol (SLP)
433|Yes|Yes|NNSP, part of Network News Transfer Protocol
434|Yes|Yes|Mobile IP Agent (RFC 5944)
443|Yes|Assigned|Hypertext Transfer Protocol over TLS/SSL (HTTPS)
444|Yes|Yes|Simple Network Paging Protocol (SNPP), RFC 1568
445|Yes|Yes|Microsoft-DS (Directory Services) Active Directory, Windows shares
464|Yes|Yes|Kerberos Change/Set password
465|Yes|No|URL Rendezvous Directory for SSM (Cisco protocol)
475|Yes|Yes|tcpnethaspsrv, Aladdin Knowledge Systems Hasp services
491|Yes||GO-Global remote access and application publishing software
497|Yes|Yes|Retrospect
500|Assigned|Yes|Internet Security Association and Key Management Protocol (ISAKMP) / Internet Key Exchange (IKE)
502|Yes|Yes|Modbus Protocol
504|Yes|Yes|Citadel, multiservice protocol for dedicated clients for the Citadel groupware system
510|Yes|Yes|FirstClass Protocol (FCP), used by FirstClass client/server groupware system
512|Yes||Rexec, Remote Process Execution
513|Yes||rlogin
514|Yes||Remote Shell, used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh)
515|Yes|Assigned|Line Printer Daemon (LPD), print service
517||Yes|Talk
518||Yes|NTalk
520|Yes||efs, extended file name server
521||Yes|Routing Information Protocol Next Generation (RIPng)
524|Yes|Yes|NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc.
525||Yes|Timed, Timeserver
530|Yes|Yes|Remote procedure call (RPC)
532|Yes|Assigned|netnews
533||Yes|netwall, For Emergency Broadcasts
540|Yes||Unix-to-Unix Copy Protocol (UUCP)
542|Yes|Yes|commerce (Commerce Applications)
543|Yes||klogin, Kerberos login
544|Yes||kshell, Kerberos Remote shell
546|Yes|Yes|DHCPv6 client
547|Yes|Yes|DHCPv6 server
548|Yes|Assigned|Apple Filing Protocol (AFP) over TCP
550|Yes|Yes|new-rwho, new-who
554|Yes|Yes|Real Time Streaming Protocol (RTSP)
556|Yes||Remotefs, RFS, rfs_server
560||Yes|rmonitor, Remote Monitor
561||Yes|monitor
563|Yes|Yes|NNTP over TLS/SSL (NNTPS)
564|Yes||9P (Plan 9)
585|Port 993|?|Legacy use of Internet Message Access Protocol over TLS/SSL (IMAPS), now in use at port 993.
587|Yes|Assigned|email message submission (SMTP)
591|Yes||FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80)
593|Yes|Yes|HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server
601|Yes||Reliable Syslog Service — used for system logging
604|Yes||TUNNEL profile, a protocol for BEEP peers to form an application layer tunnel
623||Yes|ASF Remote Management and Control Protocol (ASF-RMCP) & IPMI Remote Management Protocol
625|Yes|No|Open Directory Proxy (ODProxy)
631|Yes|Yes|Internet Printing Protocol (IPP)
635|Yes|Yes|RLZ DBase
636|Yes|Assigned|Lightweight Directory Access Protocol over TLS/SSL (LDAPS)
639|Yes|Yes|MSDP, Multicast Source Discovery Protocol
641|Yes|Yes|SupportSoft Nexus Remote Command (control/listening), a proxy gateway connecting remote control traffic
643|Yes|Yes|SANity
646|Yes|Yes|Label Distribution Protocol (LDP), a routing protocol used in MPLS networks
647|Yes||DHCP Failover protocol
648|Yes||Registry Registrar Protocol (RRP)
651|Yes|Yes|IEEE-MMS
653|Yes|Yes|SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic
654|Yes||Media Management System (MMS) Media Management Protocol (MMP)
655|Yes|Yes|Tinc VPN daemon
657|Yes|Yes|IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM) and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration
660|Yes|Assigned|Mac OS X Server administration,
666|Yes|Yes|Doom, first online first-person shooter
674|Yes||Application Configuration Access Protocol (ACAP)
688|Yes|Yes|REALM-RUSD (ApplianceWare Server Appliance Management Protocol)
690|Yes|Yes|Velneo Application Transfer Protocol (VATP)
691|Yes||MS Exchange Routing
694|Yes|Yes|Linux-HA high-availability heartbeat
695|Yes||IEEE Media Management System over SSL (IEEE-MMS-SSL)
698||Yes|Optimized Link State Routing (OLSR)
700|Yes||Extensible Provisioning Protocol (EPP), a protocol for communication between domain name registries and registrars (RFC 5734)
701|Yes||Link Management Protocol (LMP), a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links
702|Yes||IRIS (RFC 3983)
706|Yes||Secure Internet Live Conferencing (SILC)
711|Yes||Cisco Tag Distribution Protocol
712|Yes||Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF; RFC 3684)
749|Yes|Yes|Kerberos (protocol) administration
750||Yes|kerberos-iv, Kerberos version IV
751|Yes|Yes|kerberos_master, Kerberos authentication
752||Yes|passwd_server, Kerberos password (kpasswd) server
753|Yes|Yes|Reverse Routing Header (RRH)
754|Yes|Yes|tell send
760|Yes|Yes|krbupdate , Kerberos registration
782|Yes||Conserver serial-console management server
783|Yes||SpamAssassin spamd daemon
800|Yes|Yes|mdbs-daemon
802|Yes|Yes|MODBUS/TCP Security
808|Yes||Microsoft Net.TCP Port Sharing Service
829|Yes|Assigned|Certificate Management Protocol
830|Yes|Yes|NETCONF over SSH
831|Yes|Yes|NETCONF over BEEP
832|Yes|Yes|NETCONF for SOAP over HTTPS
833|Yes|Yes|NETCONF for SOAP over BEEP
843|Yes||Adobe Flash
847|Yes||DHCP Failover protocol
848|Yes|Yes|Group Domain Of Interpretation (GDOI) protocol
853|Yes|Yes|DNS over TLS (RFC 7858)
860|Yes||iSCSI (RFC 3720)
861|Yes|Yes|OWAMP control (RFC 4656)
862|Yes|Yes|TWAMP control (RFC 5357)
873|Yes||rsync file synchronization protocol
888|Yes||cddbp, CD DataBase (CDDB) protocol (CDDBP)
897|Yes|Yes|Brocade SMI-S RPC
898|Yes|Yes|Brocade SMI-S RPC SSL
902|Yes|Yes|VMware ESXi
903|Yes||VMware ESXi
953|Yes|Reserved|BIND remote name daemon control (RNDC)
981|Yes||Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software
987|Yes||Microsoft Remote Web Workplace, a feature of Windows Small Business Server
989|Yes|Yes|FTPS Protocol (data), FTP over TLS/SSL
990|Yes|Yes|FTPS Protocol (control), FTP over TLS/SSL
991|Yes|Yes|Netnews Administration System (NAS)
992|Yes|Yes|Telnet protocol over TLS/SSL
993|Yes|Assigned|Internet Message Access Protocol over TLS/SSL (IMAPS)
994|Reserved|Reserved|
995|Yes|Yes|Post Office Protocol 3 over TLS/SSL (POP3S)
1010|Yes||ThinLinc web-based administration interface
1011–1020|Reserved|Reserved|
1023|Reserved|Reserved|
1024|Reserved|Reserved|Reserved
1027|Reserved||Reserved
1028|||Deprecated
1029|||Microsoft DCOM services
1058|Yes|Yes|nim, IBM AIX Network Installation Manager (NIM)
1059|Yes|Yes|nimreg, IBM AIX Network Installation Manager (NIM)
1080|Yes|Yes|SOCKS proxy
1085|Yes|Yes|WebObjects
1098|Yes|Yes|rmiactivation, Java remote method invocation (RMI) activation
1099|Yes|Assigned|rmiregistry, Java remote method invocation (RMI) registry
1109|||Reserved – IANA
1113|Assigned|Licklider Transmission Protocol (LTP) delay tolerant networking protocol
1119|Yes|Yes|Battle.net chat/game protocol, used by Blizzard's games
1167|Yes, and SCTP|Yes|Cisco IP SLA (Service Assurance Agent)
1194|Yes|Yes|OpenVPN
1198|Yes|Yes|The cajo project Free dynamic transparent distributed computing in Java
1214|Yes|Yes|Kazaa
1218|Yes|No|William POWER
1220|Yes|Assigned|QuickTime Streaming Server administration
1234|Yes|Yes|Infoseek search agent
1241|Yes|Yes|Nessus Security Scanner
1270|Yes|Yes|Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent
1293|Yes|Yes|Internet Protocol Security (IPSec)
1311|Yes|Yes|Windows RxMon.exe
1314|?|?|Festival Speech Synthesis System server
1337|Yes||neo4j-shell
1341|Yes|Yes|Qubes (Manufacturing Execution System)
1344|Yes|Yes|Internet Content Adaptation Protocol
1352|Yes|Yes|IBM Lotus Notes/Domino (RPC) protocol
1360|Yes|Yes|Mimer SQL
1414|Yes|Yes|IBM WebSphere MQ (formerly known as MQSeries)
1417|Yes|Yes|Timbuktu Service 1 Port
1418|Yes|Yes|Timbuktu Service 2 Port
1419|Yes|Yes|Timbuktu Service 3 Port
1420|Yes|Yes|Timbuktu Service 4 Port
1431|Yes||Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system
1433|Yes|Yes|Microsoft SQL Server database management system (MSSQL) server
1434|Yes|Yes|Microsoft SQL Server database management system (MSSQL) monitor
1492|Yes||Sid Meier's CivNet, a multiplayer remake of the original Sid Meier's Civilization game
1494|Yes|Yes|Citrix Independent Computing Architecture (ICA)
1500|Yes||IBM Tivoli Storage Manager server
1501|Yes||IBM Tivoli Storage Manager client scheduler
1503|Yes|Yes|Windows Live Messenger (Whiteboard and Application Sharing)
1512|Yes|Yes|Microsoft's Windows Internet Name Service (WINS)
1513|Yes|Yes|Garena game client
1521|Yes|Yes|nCUBE License Manager
1524|Yes|Yes|ingreslock, ingres
1527|Yes|Yes|Oracle Net Services, formerly known as SQL*Net
1533|Yes|Yes|IBM Sametime Virtual Places Chat
1534|No|Yes|Eclipse Target Communication Framework 
1540|Yes|Yes|1C:Enterprise server agent (ragent)
1541|Yes|Yes|1C:Enterprise master cluster manager (rmngr)
1542|Yes|Yes|1C:Enterprise configuration repository server
1545|Yes|Yes|1C:Enterprise cluster administration server (RAS)
1547|Yes|Yes|Laplink
1550|Yes|Yes|1C:Enterprise debug server
1560–1590|Yes|Yes|1C:Enterprise cluster working processes
1581|Yes|Yes|MIL STD 2045-47001 VMF
1582–1583|Yes||IBM Tivoli Storage Manager server web interface
1583|?|?|Pervasive PSQL
1589|Yes|Yes|Cisco VLAN Query Protocol (VQP)
1604|Yes|Yes|DarkComet remote administration tool (RAT)
1626|Yes|?|iSketch
1627|Yes|?|iSketch
1628|Yes|Yes|LonTalk normal
1629|Yes|Yes|LonTalk urgent
1645||Yes|Early deployment of RADIUS before RFC standardization was done using UDP port number 1645. Enabled for compatibility reasons by default on Cisco
1646||Yes|Old radacct port,
1666|Yes||Perforce
1677|Yes|Yes|Novell GroupWise clients in client/server access mode
1688|Yes||Microsoft Key Management Service (KMS) for Windows Activation
1701|Yes|Yes|Layer 2 Forwarding Protocol (L2F)
1707|Yes|Yes|Windward Studios games (vdmplay)
1716||Yes|America's Army, a massively multiplayer online game (MMO)
1719|Yes|Yes|H.323 registration and alternate communication
1720|Yes|Yes|H.323 call signaling
1723|Yes|Assigned|Point-to-Point Tunneling Protocol (PPTP)
1755|Yes|Yes|Microsoft Media Services (MMS, ms-streaming)
1761|Yes|Yes|Novell ZENworks
1783|||Decomissioned  Port 04/14/00, ms
1801|Yes|Yes|Microsoft Message Queuing
1812|Yes|Yes|RADIUS authentication protocol, radius
1813|Yes|Yes|RADIUS accounting protocol, radius-acct
1863|Yes|Yes|Microsoft Notification Protocol (MSNP), used by the Microsoft Messenger service and a number of instant messaging Messenger clients
1880|?|?|Node-RED
1883|Yes|Yes|MQTT (formerly MQ Telemetry Transport)
1900|Assigned|Yes|Simple Service Discovery Protocol (SSDP), discovery of UPnP devices
1935|Yes|Yes|Macromedia Flash Communications Server MX, the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3, 2005
1967||Yes|Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol
1970|Yes|Yes|Netop Remote Control
1972|Yes|Yes|InterSystems Caché
1984|Yes|Yes|Big Brother
1985|Assigned|Yes|Cisco Hot Standby Router Protocol (HSRP)
1998|Yes|Yes|Cisco X.25 over TCP (XOT) service
2000|Yes|Yes|Cisco Skinny Client Control Protocol (SCCP)
2010|?|?|Artemis: Spaceship Bridge Simulator
2033|Yes|Yes|Civilization IV multiplayer
2049|Yes, and SCTP|Yes|Network File System (NFS)
2056|Yes|Yes|Civilization IV multiplayer
2080|Yes|Yes|Autodesk NLM (FLEXlm)
2082|Yes||cPanel default
2083|Yes|Yes|Secure RADIUS Service (radsec)
2086|Yes|Yes|GNUnet
2087|Yes||WebHost Manager default SSL
2095|Yes||cPanel default web mail
2096|Yes||cPanel default SSL web mail
2100|Yes||Warzone 2100 multiplayer
2101|Yes||Networked Transport of RTCM via Internet Protocol (NTRIP)
2102|Yes|Yes|Zephyr Notification Service server
2103|Yes|Yes|Zephyr Notification Service serv-hm connection
2104|Yes|Yes|Zephyr Notification Service hostmanager
2123|Yes|Yes|GTP control messages (GTP-C)
2142|Yes|Yes|TDMoIP (TDM over IP)
2152|Yes|Yes|GTP user data messages (GTP-U)
2159|Yes|Yes|GDB remote debug port
2181|Yes|Yes|EForward-document transport system
2195|Yes||Apple Push Notification Service
2196|Yes||Apple Push Notification Service, feedback service
2210|Yes|Yes|NOAAPORT Broadcast Network
2211|Yes|Yes|EMWIN
2221|Yes||ESET anti-virus updates
2222|Yes|Yes|EtherNet/IP implicit messaging for IO data
2222–2226|Yes||ESET Remote administrator
2240|Yes|Yes|General Dynamics Remote Encryptor Configuration Information Protocol (RECIPe)
2261|Yes|Yes|CoMotion master
2262|Yes|Yes|CoMotion backup
2302||Yes|ArmA multiplayer
2303||Yes|ArmA multiplayer (default port for game +1)
2305||Yes|ArmA multiplayer (default port for game +3)
2351|Yes||AIM game LAN network port
2368|Yes||Ghost (blogging platform)
2369|Yes||Default for BMC Control-M/Server Configuration Agent
2370|Yes||Default for BMC Control-M/Server, to allow the Control-M/Enterprise Manager to connect to the Control-M/Server
2372|Yes||Default for K9 Web Protection/parental controls, content filtering agent
2375|Yes|Reserved|Docker REST API (plain)
2376|Yes|Reserved|Docker REST API (SSL)
2377|Yes|Reserved|Docker Swarm cluster management communications
2379|Yes|Reserved|CoreOS etcd client communication
2380|Yes|Reserved|CoreOS etcd server communication
2389|Assigned|Assigned|OpenView Session Mgr
2399|Yes|Yes|FileMaker Data Access Layer (ODBC/JDBC)
2401|Yes|Yes|CVS version control system password-based server
2404|Yes|Yes|IEC 60870-5-104, used to send electric power telecontrol messages between two systems via directly connected data circuits
2424|Yes||OrientDB database listening for binary client connections
2427|Yes|Yes|Media Gateway Control Protocol (MGCP) media gateway
2447|Yes|Yes|ovwdb—OpenView Network Node Manager (NNM) daemon
2459|Yes|Yes|xrpl
2480|Yes||OrientDB database listening for HTTP client connections
2483|Yes|Yes|Oracle database listening for insecure client connections to the listener, replaces port 1521
2484|Yes|Yes|Oracle database listening for SSL client connections to the listener
2500|Yes|Yes|NetFS communication
2501||Yes|NetFS probe
2535|Yes|Yes|Multicast Address Dynamic Client Allocation Protocol (MADCAP).
2541|Yes|Yes|LonTalk/IP
2546–2548|Yes|Yes|EVault data protection services
2593|Yes|Yes|Ultima Online servers
2598|Yes||Citrix Independent Computing Architecture (ICA) with Session Reliability; port 1494 without session reliability
2599|Yes|Yes|Ultima Online servers
2628|Yes|Yes|DICT 
2638|Yes|Yes|SQL Anywhere database server
2710|Yes|Yes|XBT Tracker.
2727|Yes|Yes|Media Gateway Control Protocol (MGCP) media gateway controller (call agent)
2775|Yes|Yes|Short Message Peer-to-Peer (SMPP)
2809|Yes|Yes|corbaloc:iiop URL, per the CORBA 3.0.3 specification
2811|Yes|Yes|gsi ftp, per the GridFTP specification
2827|Yes||I2P BOB Bridge
2944|Yes|Yes|Megaco text H.248
2945|Yes|Yes|Megaco binary (ASN.1) H.248
2947|Yes|Yes|gpsd, GPS daemon
2948|Yes|Yes|WAP push Multimedia Messaging Service (MMS)
2949|Yes|Yes|WAP push secure (MMS)
2967|Yes|Yes|Symantec System Center agent (SSC-AGENT)
3000|Yes||Cloud9 IDE server
3004|Yes||iSync
3020|Yes|Yes|Common Internet File System (CIFS). See also port 445 for Server Message Block (SMB), a dialect of CIFS.
3050|Yes|Yes|gds-db (Interbase/Firebird databases)
3052|Yes|Yes|APC PowerChute Network
3074|Yes|Yes|Xbox LIVE and Games for Windows – Live
3101|Yes||BlackBerry Enterprise Server communication protocol
3128|Yes|?|Squid caching web proxy
3225|Yes|Yes|Fibre Channel over IP (FCIP)
3233|Yes|Yes|WhiskerControl research control protocol
3260|Yes|Yes|iSCSI
3268|Yes|Yes|msft-gc, Microsoft Global Catalog (LDAP service which contains data from Active Directory forests)
3269|Yes|Yes|msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268, LDAP over SSL)
3283|Yes|Yes|Net Assistant, a predecessor to Apple Remote Desktop
3290||Yes|Virtual Air Traffic Simulation (VATSIM) network voice communication
3305|Yes|Yes|Odette File Transfer Protocol (OFTP)
3306|Yes|Assigned|MySQL database system
3323|Yes|Yes|DECE GEODI Server
3332||Yes|Thundercloud DataPath Overlay Control
3333|Yes||Eggdrop, an IRC bot default port
3351|?|?|Pervasive PSQL
3386|Yes|Yes|GTP' 3GPP GSM/UMTS CDR logging protocol
3389|Yes|Yes|Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT)
3396|Yes|Yes|Novell NDPS Printer Agent
3412|Yes|Yes|xmlBlaster
3423|Yes||Xware xTrm Communication Protocol
3424|Yes||Xware xTrm Communication Protocol over SSL
3455|Yes|Yes|Resource Reservation Protocol (RSVP)
3478|Yes|Yes|STUN, a protocol for NAT traversal
3479|Yes|Yes|PlayStation Network
3480|Yes|Yes|PlayStation Network
3483||Yes|Slim Devices discovery protocol
3493|Yes|Yes|Network UPS Tools (NUT)
3516|Yes|Yes|Smartcard Port
3527||Yes|Microsoft Message Queuing
3535|Yes||SMTP alternate
3544||Yes|Teredo tunneling
3632|Yes|Assigned|Distcc, distributed compiler
3645|Yes|Yes|Cyc
3659|Yes|Yes|Apple SASL, used by Mac OS X Server Password Server
3667|Yes|Yes|Information Exchange
3689|Yes|Assigned|Digital Audio Access Protocol (DAAP), used by Apple's iTunes and AirPlay
3690|Yes|Yes|Subversion (SVN) version control system
3702|Yes|Yes|Web Services Dynamic Discovery (WS-Discovery), used by various components of Windows Vista and later
3724|Yes|Yes|Some Blizzard games
3725|Yes|Yes|Netia NA-ER Port
3749|Yes|Yes|CimTrak registered port
3768|Yes|Yes|RBLcheckd server daemon
3784||Yes|Bidirectional Forwarding Detection (BFD)for IPv4 and IPv6 (Single Hop) (RFC 5881)
3785||Yes|VoIP program used by Ventrilo
3799||Yes|RADIUS change of authorization
3804|Yes|Yes|Harman Professional HiQnet protocol
3825|Yes||RedSeal Networks client/server connection
3826|Yes|Yes|WarMUX game server
3835|Yes||RedSeal Networks client/server connection
3830|Yes|Yes|System Management Agent, developed and used by Cerner to monitor and manage solutions
3856|Yes|Yes|ERP Server Application used by F10 Software
3880|Yes|Yes|IGRS
3868|Yes, and SCTP||Diameter base protocol (RFC 3588)
3872|Yes||Oracle Enterprise Manager Remote Agent
3900|Yes||udt_os, IBM UniData UDT OS
3960||Yes|Warframe online interaction
3962||Yes|Warframe online interaction
3978|Yes|Yes|OpenTTD game (masterserver and content service)
3979|Yes|Yes|OpenTTD game
3999|Yes|Yes|Norman distributed scanning service
4000|Yes|Yes|Diablo II game
4001|Yes||Microsoft Ants game
4018|Yes|Yes|Protocol information and warnings
4035|Yes||IBM Rational Developer for System z Remote System Explorer Daemon
4045|Yes|Yes|Solaris lockd NFS lock daemon/manager
4050|Yes||Mud Master Chat protocol (MMCP) - Peer-to-peer communications between MUD clients.
4069||Yes|Minger Email Address Verification Protocol
4070|Yes|Yes|Amazon Echo Dot (Amazon Alexa) streaming connection with Spotify
4089|Yes|Yes|OpenCORE Remote Control Service
4090|Yes|Yes|Kerio
4093|Yes|Yes|PxPlus Client server interface ProvideX
4096|Yes|Yes|Ascom Timeplex Bridge Relay Element (BRE)
4105|Yes|Yes|Shofar (ShofarNexus)
4111|Yes|Assigned|Xgrid
4116|Yes|Yes|Smartcard-TLS
4125|Yes||Microsoft Remote Web Workplace administration
4172|Yes|Yes|Teradici PCoIP
4190|Yes||ManageSieve
4198|Yes|Yes|Couch Potato Android app
4201|Yes||TinyMUD and various derivatives
4222|Yes||NATS server default port
4226|Yes|Yes|Aleph One, a computer game
4242|Yes||Orthanc – DICOM server
4243|Yes||Docker implementations, redistributions, and setups default
4244|Yes|Yes|Viber
4303|Yes|Yes|Simple Railroad Command Protocol (SRCP)
4307|Yes||TrueConf Client - TrueConf Server media data exchange
4321|Yes||Referral Whois (RWhois) Protocol
4444|Yes|Yes|Oracle WebCenter Content: Content Server—Intradoc Socket port. (formerly known as Oracle Universal Content Management).
4444–4445|Yes||I2P HTTP/S proxy
4486|Yes|Yes|Integrated Client Message Service (ICMS)
4488|Yes|Assigned|Apple Wide Area Connectivity Service, used by Back to My Mac
4500|Assigned|Yes|IPSec NAT Traversal (RFC 3947, RFC 4306)
4502–4534|Yes||Microsoft Silverlight connectable ports under non-elevated trust
4505–4506|Yes||Salt master
4534||Yes|Armagetron Advanced server default
4560|Yes||default Log4j socketappender port
4567|Yes||Sinatra default server port in development mode (HTTP)
4569||Yes|Inter-Asterisk eXchange (IAX2)
4604|Yes||Identity Registration Protocol
4605|Yes||Direct End to End Secure Chat Protocol
4610–4640|Yes||QualiSystems TestShell Suite Services
4662|Yes|Yes|OrbitNet Message Service
4664|Yes||Google Desktop Search
